page_id,photo_id,side,register,cropped,src,kept_pct
p114,p114,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p114.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522103031.jpg,72.7
p115,p115,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p115.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522103036.jpg,62.8
p116,p116,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p116.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522103044.jpg,81.1
p117,p117,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p117.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522103048.jpg,59.6
p118,p118,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p118.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522103330.jpg,70.0
p119,p119,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p119.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522103336.jpg,85.2
p120,p120,single,X 20 (1583),processed/cropped/x-20-1583/p120.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104527.jpg,100.0
p121,p121,single,X 20 (1583),processed/cropped/x-20-1583/p121.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104530.jpg,71.6
p122,p122,single,X 20 (1583),processed/cropped/x-20-1583/p122.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104539.jpg,79.3
p123,p123,single,X 20 (1583),processed/cropped/x-20-1583/p123.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104544.jpg,76.5
p124,p124,single,X 20 (1583),processed/cropped/x-20-1583/p124.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104554.jpg,68.0
p125,p125,single,X 20 (1583),processed/cropped/x-20-1583/p125.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104602.jpg,62.8
p126,p126,single,X 20 (1583),processed/cropped/x-20-1583/p126.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104622.jpg,89.2
p127,p127,single,X 20 (1583),processed/cropped/x-20-1583/p127.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104627.jpg,59.6
p128,p128,single,X 20 (1583),processed/cropped/x-20-1583/p128.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104637.jpg,73.6
p129,p129,single,X 20 (1583),processed/cropped/x-20-1583/p129.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104643.jpg,56.6
p130,p130,single,X 20 (1583),processed/cropped/x-20-1583/p130.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104654.jpg,75.9
p131,p131,single,X 20 (1583),processed/cropped/x-20-1583/p131.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104700.jpg,56.5
p132,p132,single,X 20 (1583),processed/cropped/x-20-1583/p132.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104710.jpg,83.7
p133,p133,single,X 20 (1583),processed/cropped/x-20-1583/p133.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104717.jpg,48.5
p134,p134,single,X 20 (1583),processed/cropped/x-20-1583/p134.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104729.jpg,72.5
p135,p135,single,X 20 (1583),processed/cropped/x-20-1583/p135.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104735.jpg,66.6
p136,p136,single,X 20 (1583),processed/cropped/x-20-1583/p136.jpg,raw/Archivio diocesano/X 20 (1583)/IMG20260522104751.jpg,89.9
